Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
162,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
163,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
164,0.001,0.001,0.002,0.001333333, ,0,0,0.001,0.000333333, ,,
165,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
166,0.002,0.001,0.001,0.001333333, ,0.001,0,0.001,0.000666667, ,,
167,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
168,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
169,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
170,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
171,0.007,0.001,0.001,0.003, ,0.001,0.001,0.001,0.001, ,,
172,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
173,0.002,0.002,0.001,0.001666667, ,0.001,0,0,0.000333333, ,,
174,0.001,0.001,0.002,0.001333333, ,0,0.001,0.001,0.000666667, ,,
175,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
176,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
177,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
178,0.001,0.001,0.002,0.001333333, ,0.001,0,0,0.000333333, ,,
179,0.002,0.001,0.001,0.001333333, ,0,0.001,0.001,0.000666667, ,,
180,0.001,0.001,0.001,0.001, ,0.006,0.003,0.006,0.005, ,,
181,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
182,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
183,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
184,0.002,0.001,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
185,0.001,0.001,0.002,0.001333333, ,0.001,0.001,0.001,0.001, ,,
186,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
187,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
188,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
189,0.001,0.001,0.007,0.003, ,0,0,0,0, ,,
190,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
191,0.001,0.001,0.002,0.001333333, ,0.001,0,0,0.000333333, ,,
192,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
193,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
194,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
195,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
196,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
197,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
198,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
199,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
200,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
201,0.001,0.001,0.002,0.001333333, ,0,0.001,0.001,0.000666667, ,,
202,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
203,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
204,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
205,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
206,0.001,0.002,0.001,0.001333333, ,0.001,0,0.001,0.000666667, ,,
207,0.002,0.001,0.001,0.001333333, ,0,0.001,0,0.000333333, ,,
208,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
209,0.001,0.002,0.001,0.001333333, ,0,0,0,0, ,,
210,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
211,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
212,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
213,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
214,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
215,0.001,0.001,0.002,0.001333333, ,0,0,0,0, ,,
216,0.002,0.001,0.001,0.001333333, ,0,0.001,0,0.000333333, ,,
217,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
218,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
219,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
220,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
221,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
222,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
223,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
224,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
225,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
